Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 08:30:23 CEST 2021
Mo 19. Apr 08:30:23 CEST 2021
0
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[20700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8452 	 t: 43.22 sec
[20800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8757 	 t: 43.96 sec
[20900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8188 	 t: 46.42 sec
[21000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6970 	 t: 46.49 sec
[21100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8901 	 t: 46.55 sec
[21200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8698 	 t: 46.32 sec
[21300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7994 	 t: 45.80 sec
[21400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6405 	 t: 46.60 sec
[21500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7062 	 t: 44.37 sec
[21600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7578 	 t: 43.38 sec
[21700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7960 	 t: 42.82 sec
[21800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6810 	 t: 38.39 sec
[21900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8580 	 t: 38.64 sec
[22000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7399 	 t: 38.20 sec
[22100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8730 	 t: 40.67 sec
[22200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7473 	 t: 43.38 sec
[22300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8379 	 t: 43.05 sec
[22400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7400 	 t: 43.51 sec
[22500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8863 	 t: 43.36 sec
[22600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7489 	 t: 43.03 sec
[22700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6622 	 t: 43.27 sec
[22800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7363 	 t: 43.14 sec
[22900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8582 	 t: 43.47 sec
