Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[14100]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.6811 	 reg_loss: 0.0476 	 lambda: 0.20 	 t: 49.61 sec
[14200]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.7207 	 reg_loss: 0.0458 	 lambda: 0.20 	 t: 49.68 sec
[14300]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.5350 	 reg_loss: 0.0571 	 lambda: 0.20 	 t: 49.65 sec
[14400]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.5939 	 reg_loss: 0.0527 	 lambda: 0.20 	 t: 49.66 sec
[14500]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.6954 	 reg_loss: 0.0484 	 lambda: 0.20 	 t: 49.62 sec
[14600]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.7736 	 reg_loss: 0.0394 	 lambda: 0.20 	 t: 50.31 sec
[14700]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5384 	 reg_loss: 0.0562 	 lambda: 0.20 	 t: 49.64 sec
[14800]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5775 	 reg_loss: 0.0492 	 lambda: 0.20 	 t: 49.77 sec
[14900]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5956 	 reg_loss: 0.0497 	 lambda: 0.20 	 t: 49.63 sec
[15000]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.6761 	 reg_loss: 0.0456 	 lambda: 0.20 	 t: 49.64 sec
[15100]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.7269 	 reg_loss: 0.0476 	 lambda: 0.20 	 t: 49.83 sec
[15200]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5805 	 reg_loss: 0.0503 	 lambda: 0.20 	 t: 49.62 sec
[15300]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5377 	 reg_loss: 0.0552 	 lambda: 0.20 	 t: 49.63 sec
[15400]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.7323 	 reg_loss: 0.0468 	 lambda: 0.20 	 t: 49.65 sec
