Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[17500] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3893 	 t: 25.61 sec
[17600] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4616 	 t: 25.62 sec
[17700] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4856 	 t: 25.51 sec
[17800] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3070 	 t: 25.54 sec
[17900] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.2141 	 t: 25.42 sec
[18000] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3780 	 t: 25.50 sec
[18100] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.7422 	 t: 25.41 sec
[18200] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5290 	 t: 25.33 sec
[18300] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5502 	 t: 25.47 sec
[18400] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4055 	 t: 25.70 sec
[18500] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3823 	 t: 25.71 sec
[18600] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.2936 	 t: 25.57 sec
[18700] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.6392 	 t: 25.47 sec
[18800] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3647 	 t: 25.48 sec
[18900] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.1983 	 t: 25.41 sec
[19000] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5271 	 t: 48.55 sec
[19100] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.2293 	 t: 25.76 sec
[19200] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4332 	 t: 25.87 sec
[19300] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5623 	 t: 25.79 sec
[19400] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3801 	 t: 25.73 sec
[19500] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5451 	 t: 25.79 sec
[19600] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3230 	 t: 25.73 sec
[19700] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3790 	 t: 25.84 sec
[19800] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5363 	 t: 25.81 sec
[19900] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5042 	 t: 25.78 sec
[20000] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.6480 	 t: 25.81 sec
[20100] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3910 	 t: 25.85 sec
[20200] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5817 	 t: 25.85 sec
